DISTRICT,PVI,PVI_raw
1,D+36,0.3633948644363896
2,D+36,0.36302465197702155
3,D+53,0.5259050309725855
4,D+47,0.4719298322207301
5,D+59,0.5881491234181506
6,D+18,0.1789844256065207
7,R+4,-0.04431961246037483
8,R+17,-0.1740609599340572
9,D+16,0.15952733967861984
10,R+10,-0.10222883790406434
11,D+39,0.39485494979344576
12,R+11,-0.10813337333595333
13,R+8,-0.0846314306169651
14,R+11,-0.11229980339838799
15,R+13,-0.12763317876399433
16,R+9,-0.08809970510226323
17,R+11,-0.10951762991430455
18,D+48,0.4828625444570342
19,R+16,-0.16054779365330923
20,D+5,0.04906203181504887
21,R+17,-0.17047242874227442
22,R+20,-0.1991493357105651
23,D+27,0.2723271323497008
24,R+4,-0.03746905720065405
25,R+22,-0.21879133451210914
26,R+19,-0.19230980309611062
27,D+40,0.4034744326266017
28,R+27,-0.26822940197334144
29,R+1,-0.006499647241933332
30,R+40,-0.40319157906806646
31,D+4,0.03508889821235919
32,D+1,0.014506696008263542
33,R+13,-0.12647430172808935
34,R+6,-0.05550055802195222
35,R+16,-0.16124036228439317
36,R+18,-0.18408236579953635
37,R+17,-0.16782841257209655
38,R+6,-0.05712631549981023
